SOC Code,title,ai_applicability_score,Employment 2024 (Thousands),Employment 2034 (Thousands),"Employment Change, 2024-2034 (Thousands)","Employment Percent Change, 2024-2034","Occupational Openings, 2024-2034 Annual Average",Median Annual Wage 2024,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
47-2161,Plasterers and Stucco Masons,0.100293657,24.2,25.2,1,4.1,1.9,"56,020",No formal educational credential,8,None,4,Long-term on-the-job training,
47-2171,Reinforcing Iron and Rebar Workers,0.05510986625,19.4,20.3,0.9,4.6,1.5,"59,280",High school diploma or equivalent,7,None,4,Apprenticeship,
47-2181,Roofers,0.009102999903,166.7,176.5,9.8,5.9,12.7,"50,970",No formal educational credential,8,None,4,Moderate-term on-the-job training,
47-2211,Sheet Metal Workers,0.06376636398,127,130.1,3.1,2.4,10.6,"60,850",High school diploma or equivalent,7,None,4,Apprenticeship,
47-2221,Structural Iron and Steel Workers,0.02965133695,65.7,68.6,2.9,4.4,5.5,"62,700",High school diploma or equivalent,7,None,4,Apprenticeship,
47-2231,Solar Photovoltaic Installers,0.1679294503,28.6,40.6,12,42.1,4.1,"51,860",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",0.06954730454,16.1,14.4,-1.7,-10.5,1.4,"46,480",No formal educational credential,8,None,4,Short-term on-the-job training,
47-3012,Helpers--Carpenters,0.03744645351,25.2,26.4,1.1,4.5,2.7,"41,600",No formal educational credential,8,None,4,Short-term on-the-job training,
47-3013,Helpers--Electricians,0.06269981429,66.6,66.7,0.1,0.2,6.8,"39,890",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",0.027276532,7.4,7.6,0.2,2.3,0.8,"38,140",No formal educational credential,8,None,4,Short-term on-the-job training,
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",0.06599858135,45.3,47.5,2.2,4.9,4.9,"39,270",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
47-3016,Helpers--Roofers,0.01036699956,5.2,5.5,0.3,5.7,0.6,"40,590",No formal educational credential,8,None,4,Short-term on-the-job training,
47-4011,Construction and Building Inspectors,0.1175029239,147.6,146.5,-1.2,-0.8,14.8,"72,120",High school diploma or equivalent,7,5 years or more,1,Moderate-term on-the-job training,
47-4021,Elevator and Escalator Installers and Repairers,0.06064222585,24.2,25.4,1.2,5,2,"106,580",High school diploma or equivalent,7,None,4,Apprenticeship,
47-4031,Fence Erectors,0.06880060835,26.4,27.6,1.2,4.6,2.3,"46,940",No formal educational credential,8,None,4,Moderate-term on-the-job training,
47-4041,Hazardous Materials Removal Workers,0.02740264886,51.3,51.8,0.5,1,5,"48,490",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
47-4051,Highway Maintenance Workers,0.0213537884,159.1,163.9,4.8,3,12.3,"49,070",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
47-4061,Rail-Track Laying and Maintenance Equipment Operators,0,15,15.3,0.2,1.6,1.1,"67,370",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,0.09990858419,30.4,32.7,2.3,7.6,2.9,"49,140",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
47-4090,Miscellaneous Construction and Related Workers,0.08467205391,35,36.2,1.2,3.5,3.1,"48,120",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
47-5011,"Derrick Operators, Oil and Gas",0.05178197212,11.3,11.3,0.1,0.5,1,"62,740",No formal educational credential,8,Less than 5 years,2,Short-term on-the-job training,
47-5012,"Rotary Drill Operators, Oil and Gas",0.06209266804,13.3,13.4,0,0.2,1.2,"65,010",No formal educational credential,8,Less than 5 years,2,Moderate-term on-the-job training,
47-5013,"Service Unit Operators, Oil and Gas",0.0648956802,45.2,45.4,0.2,0.4,4.1,"57,980",No formal educational credential,8,Less than 5 years,2,Moderate-term on-the-job training,
47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",0.1021748159,35.8,35.6,-0.1,-0.4,3.1,"52,550",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,
47-5023,"Earth Drillers, Except Oil and Gas",0.05224302324,18.3,18.8,0.5,2.9,1.7,"59,600",High school diploma or equivalent,7,Less than 5 years,2,Long-term on-the-job training,
47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters",0.03583210958,5.8,5.8,-0.1,-0.9,0.5,"59,110",High school diploma or equivalent,7,Less than 5 years,2,Long-term on-the-job training,
47-5041,Continuous Mining Machine Operators,0.04815689784,14.9,15,0.1,0.6,1.6,"63,380",No formal educational credential,8,None,4,Moderate-term on-the-job training,
47-5043,"Roof Bolters, Mining",0.04960160367,2.3,1.5,-0.8,-34.2,0.1,"76,640",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
47-5044,"Loading and Moving Machine Operators, Underground Mining",0.0504582455,6.4,5,-1.4,-22.3,0.5,"68,860",No formal educational credential,8,None,4,Short-term on-the-job training,
47-5051,"Rock Splitters, Quarry",0.02942341266,3.2,3.4,0.1,4.4,0.4,"47,460",No formal educational credential,8,None,4,Short-term on-the-job training,
47-5071,"Roustabouts, Oil and Gas",0.008689887773,46,47.1,1.1,2.5,4.3,"47,510",No formal educational credential,8,None,4,Moderate-term on-the-job training,
47-5081,Helpers--Extraction Workers,0.03872839536,7,6.9,-0.1,-1.7,0.7,"48,400",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.1410867596,617.5,636.5,19.1,3.1,52.4,"78,300",High school diploma or equivalent,7,Less than 5 years,2,None,
49-2011,"Computer, Automated Teller, and Office Machine Repairers",0.1591961876,79.1,78.4,-0.7,-0.9,7.6,"46,860","Some college, no degree",6,None,4,Short-term on-the-job training,
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",0.118600631,11.7,12.7,1,8.6,1.2,"64,190",Associate's degree,4,None,4,Moderate-term on-the-job training,
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",0.1976431095,156.9,150.4,-6.6,-4.2,13.2,"62,630",Postsecondary nondegree award,5,None,4,Moderate-term on-the-job training,
49-2091,Avionics Technicians,0.1532639158,21.4,23.1,1.7,8.2,1.8,"81,390",Postsecondary nondegree award,5,None,4,None,
49-2092,"Electric Motor, Power Tool, and Related Repairers",0.1230256531,17.1,17.7,0.6,3.4,1.7,"53,990",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",0.1218519195,7,7.4,0.4,6.1,0.6,"82,730",Postsecondary nondegree award,5,None,4,Long-term on-the-job training,
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0.2194875685,61.1,60.7,-0.5,-0.8,4.7,"71,300",Postsecondary nondegree award,5,None,4,Long-term on-the-job training,
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",0.1757202514,23.4,24.7,1.3,5.5,2,"100,940",Postsecondary nondegree award,5,Less than 5 years,2,Moderate-term on-the-job training,
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",0.1036075855,10.3,8.9,-1.4,-13.6,0.6,"47,940",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
49-2097,Audiovisual Equipment Installers and Repairers,0.123895972,24.6,26.3,1.6,6.6,2.6,"50,620",Postsecondary nondegree award,5,None,4,Short-term on-the-job training,
49-2098,Security and Fire Alarm Systems Installers,0.1808721273,85.9,94.9,8.9,10.4,9.4,"59,300",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
49-3011,Aircraft Mechanics and Service Technicians,0.06911727943,139.4,145,5.6,4,11.3,"78,680",Postsecondary nondegree award,5,None,4,None,
49-3021,Automotive Body and Related Repairers,0.08734160528,172.6,175.4,2.8,1.6,14.6,"51,680",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
49-3022,Automotive Glass Installers and Repairers,0.02538924409,20.4,21.1,0.7,3.6,1.4,"47,260",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
49-3023,Automotive Service Technicians and Mechanics,0.127513587,805.6,839.2,33.6,4.2,70,"49,670",Postsecondary nondegree award,5,None,4,Short-term on-the-job training,
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,0.1090215058,319.9,327.7,7.8,2.4,26.5,"60,640",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
49-3041,Farm Equipment Mechanics and Service Technicians,0.1193673872,39,43.3,4.3,11,3.7,"52,080",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",0.08244481279,188.7,199.6,10.9,5.8,16.5,"63,980",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
49-3043,Rail Car Repairers,0.04324817972,17.9,18.4,0.5,2.8,1.5,"65,680",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
49-3051,Motorboat Mechanics and Service Technicians,0.06959278878,26.2,27.8,1.6,6,2.6,"54,950",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
49-3052,Motorcycle Mechanics,0.06727263322,14.9,15.7,0.8,5.3,1.5,"47,200",Postsecondary nondegree award,5,None,4,Short-term on-the-job training,
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,0.04641424885,36.9,37.8,0.9,2.5,3.5,"46,560",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
49-3091,Bicycle Repairers,0.1459520746,13.2,12.9,-0.3,-2.3,1.6,"40,360",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
49-3092,Recreational Vehicle Service Technicians,0.1584038591,19.5,21.7,2.2,11.5,2.8,"50,540",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
49-3093,Tire Repairers and Changers,0.02341557405,113.4,119.9,6.5,5.7,15.3,"37,120",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
49-9011,Mechanical Door Repairers,0.0793264544,28.4,31.7,3.2,11.4,2.7,"51,050",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",0.1555003052,47.7,48.3,0.6,1.3,3.9,"74,690",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0.1223076929,425.2,459.7,34.5,8.1,40.1,"59,810",Postsecondary nondegree award,5,None,4,Long-term on-the-job training,
49-9031,Home Appliance Repairers,0.1223776977,37.3,38.3,1,2.6,3.1,"49,410",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
49-9041,Industrial Machinery Mechanics,0.1095700357,439.6,510.3,70.7,16.1,45.7,"63,760",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
49-9043,"Maintenance Workers, Machinery",0.1121716944,57.5,55.9,-1.6,-2.8,4.8,"60,500",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
49-9044,Millwrights,0.07496374182,41.3,41.3,0,0,3.6,"65,170",High school diploma or equivalent,7,None,4,Apprenticeship,
49-9045,"Refractory Materials Repairers, Except Brickmasons",0.09234153871,1.1,0.9,-0.2,-16.9,0.1,"58,540",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
49-9051,Electrical Power-Line Installers and Repairers,0.1116487063,127.4,135.8,8.4,6.6,10.7,"92,560",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
49-9052,Telecommunications Line Installers and Repairers,0.165781236,99.9,96.8,-3.1,-3.1,8.9,"70,500",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
49-9061,Camera and Photographic Equipment Repairers,0.1681267903,2.3,1.9,-0.3,-15.1,0.2,"49,300",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
49-9062,Medical Equipment Repairers,0.1744249534,68,76.8,8.8,12.9,7.3,"62,630",Associate's degree,4,None,4,Moderate-term on-the-job training,
49-9063,Musical Instrument Repairers and Tuners,0.1372495286,6.2,6.3,0.1,1.4,0.6,"45,320",High school diploma or equivalent,7,None,4,Apprenticeship,
49-9064,Watch and Clock Repairers,0.07974221084,1.4,1.4,0,-1.1,0.1,"60,690",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
49-9071,"Maintenance and Repair Workers, General",0.0867317891,"1,629.70","1,692.10",62.4,3.8,159.8,"48,620",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
49-9081,Wind Turbine Service Technicians,0.1407222434,13.6,20.5,6.8,49.9,2.3,"62,580",Postsecondary nondegree award,5,None,4,Long-term on-the-job training,
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",0.08328847097,32.5,31.6,-0.9,-2.9,3.5,"47,350",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
49-9092,Commercial Divers,0.0949369045,4.2,4.5,0.4,8.5,0.4,"61,130",Postsecondary nondegree award,5,None,4,Moderate-term on-the-job training,
49-9094,Locksmiths and Safe Repairers,0.04301897689,18.8,17.2,-1.6,-8.3,1.7,"50,490",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
49-9095,Manufactured Building and Mobile Home Installers,0.1211964104,3.1,3.3,0.2,5.9,0.3,"41,080",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
49-9096,Riggers,0.1763014878,24.6,25.4,0.8,3.2,2.5,"62,060",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
49-9097,Signal and Track Switch Repairers,0.07335277116,8.7,8.8,0.1,1.7,0.8,"83,600",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",0.06251133443,98.7,101,2.2,2.3,11.8,"38,860",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
49-9099,"Installation, Maintenance, and Repair Workers, All Other",0.1293665186,221.2,226.5,5.4,2.4,21.5,"48,640",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-1011,First-Line Supervisors of Production and Operating Workers,0.250194444,698.6,706.9,8.3,1.2,67.7,"71,190",High school diploma or equivalent,7,Less than 5 years,2,None,
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",0.05373628448,33.6,28.7,-4.9,-14.5,2.8,"61,680",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-2021,"Coil Winders, Tapers, and Finishers",0.08231895167,12.2,11.5,-0.8,-6.3,1.2,"47,260",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",0.1040787465,261.4,273.3,11.9,4.6,29.6,"44,040",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-2031,Engine and Other Machine Assemblers,0.1173161501,38.4,30.3,-8.1,-21.1,2.8,"52,540",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-2041,Structural Metal Fabricators and Fitters,0.04635024198,53.8,45,-8.8,-16.3,4.1,"49,900",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-2051,Fiberglass Laminators and Fabricators,0.0682886821,18.6,19.4,0.8,4.2,2.1,"45,760",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-2061,Timing Device Assemblers and Adjusters,0.02907885467,0.2,0.2,0,-17.5,0,"40,790",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-2090,Miscellaneous Assemblers and Fabricators,0.1147502152,"1,467.10","1,465.90",-1.3,-0.1,156.3,"42,210",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-3011,Bakers,0.09054184844,249.1,263.2,14,5.6,39.9,"36,650",No formal educational credential,8,None,4,Moderate-term on-the-job training,
51-3021,Butchers and Meat Cutters,0.1943090249,143.1,144.5,1.4,1,16.9,"38,960",No formal educational credential,8,None,4,Long-term on-the-job training,
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",0.1858831137,146.8,154.9,8.1,5.5,18.4,"37,700",No formal educational credential,8,None,4,Short-term on-the-job training,
51-3023,Slaughterers and Meat Packers,0.1049120956,69.6,71.2,1.5,2.2,8.4,"39,790",No formal educational credential,8,None,4,Short-term on-the-job training,
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.06392860672,20.7,20.8,0.1,0.6,2.4,"42,730",No formal educational credential,8,None,4,Moderate-term on-the-job training,
51-3092,Food Batchmakers,0.08241502477,173.5,185.4,11.9,6.9,24.2,"40,790",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-3093,Food Cooking Machine Operators and Tenders,0.09262908533,29.7,29.9,0.2,0.6,4.4,"40,550",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.1516735419,66,66.8,0.8,1.2,6.5,"46,980",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",0.1191584764,8.8,7.2,-1.7,-18.9,0.6,"49,240",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",0.1077523644,22.5,20.6,-1.9,-8.3,1.9,"48,630",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0.08196484632,174.7,153.6,-21.1,-12.1,14.4,"45,590",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.09477541211,5.3,4.3,-1,-19.6,0.4,"46,630",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.1045354126,70.1,61.7,-8.4,-12,5.5,"45,190",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.1455516701,18.9,16.4,-2.6,-13.6,1.5,"48,620",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",0.1321754084,13.8,11.8,-2,-14.4,1.1,"48,310",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-4041,Machinists,0.169340593,299.5,299.6,0,0,29.5,"56,150",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
51-4051,Metal-Refining Furnace Operators and Tenders,0.07505226641,20.8,20.3,-0.5,-2.3,2,"55,770",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-4052,"Pourers and Casters, Metal",0.06351850226,5.9,5.7,-0.3,-4.7,0.6,"48,940",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-4061,"Model Makers, Metal and Plastic",0.07403083512,3.2,2.6,-0.6,-18.2,0.3,"62,700",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-4062,"Patternmakers, Metal and Plastic",0.147732048,1.6,1.2,-0.4,-24.4,0.1,"54,540",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-4071,Foundry Mold and Coremakers,0,12.7,9.4,-3.3,-25.9,0.9,"45,700",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.0748050845,154.6,148.8,-5.8,-3.8,15.9,"41,230",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.1469718228,131,130.3,-0.7,-0.5,12.8,"46,060",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-4111,Tool and Die Makers,0.08620949895,55.2,49.3,-6,-10.8,4.7,"63,180",Postsecondary nondegree award,5,None,4,Long-term on-the-job training,
51-4121,"Welders, Cutters, Solderers, and Brazers",0.08264209894,457.3,467.2,9.9,2.2,45.6,"51,000",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",0.09294378498,38.9,35.4,-3.5,-9,3.2,"47,060",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",0.1378923801,14.8,12.9,-1.9,-12.8,1.2,"47,450",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-4192,"Layout Workers, Metal and Plastic",0.09083033989,5.7,5.4,-0.3,-5.4,0.5,"61,870",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",0.08049295277,31.7,27.4,-4.3,-13.6,2.5,"41,600",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-4194,"Tool Grinders, Filers, and Sharpeners",0.1025223605,5.8,5.4,-0.5,-7.8,0.5,"48,970",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-5111,Prepress Technicians and Workers,0.1331718167,26.2,22.3,-3.8,-14.6,2.8,"47,300",Postsecondary nondegree award,5,None,4,None,
51-5112,Printing Press Operators,0.1197397675,150.2,138,-12.2,-8.1,13.7,"45,160",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-5113,Print Binding and Finishing Workers,0.04603101096,35.8,30,-5.8,-16.1,2.8,"39,820",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-6011,Laundry and Dry-Cleaning Workers,0.04460238616,202.6,213.5,10.9,5.4,31.9,"33,800",No formal educational credential,8,None,4,Short-term on-the-job training,
51-6021,"Pressers, Textile, Garment, and Related Materials",0.05570710169,28.4,24.6,-3.8,-13.5,2.8,"33,880",No formal educational credential,8,None,4,Short-term on-the-job training,
51-6031,Sewing Machine Operators,0.04721264768,124,110.7,-13.3,-10.8,13,"36,000",No formal educational credential,8,None,4,Short-term on-the-job training,
51-6041,Shoe and Leather Workers and Repairers,0.06314492454,9.5,9.1,-0.4,-3.8,0.9,"35,950",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-6042,Shoe Machine Operators and Tenders,0.05446074293,4.1,3.9,-0.2,-3.7,0.4,"38,160",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
51-6051,"Sewers, Hand",0.08986433454,5.4,5,-0.4,-7,0.7,"33,760",No formal educational credential,8,None,4,Moderate-term on-the-job training,
51-6052,"Tailors, Dressmakers, and Custom Sewers",0.05556520028,38.8,37.1,-1.7,-4.5,5,"40,860",No formal educational credential,8,None,4,Moderate-term on-the-job training,
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,0.1044453813,6.2,5.5,-0.6,-10.1,0.7,"37,320",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",0.1125743954,9.3,8.2,-1.1,-11.7,1,"37,940",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0.09138490754,15.3,13.6,-1.7,-11.2,1.7,"38,260",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",0.05506755737,21.7,19.8,-1.9,-9,2.5,"37,660",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",0.04411009378,15.2,15,-0.2,-1.1,2,"44,980",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-6092,Fabric and Apparel Patternmakers,0.1057819106,2.8,2.5,-0.3,-10.2,0.3,"67,670",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-6093,Upholsterers,0.08374613856,22.7,22.3,-0.4,-1.8,2.2,"46,190",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-7011,Cabinetmakers and Bench Carpenters,0.1186475247,86,84.7,-1.4,-1.6,8.1,"46,020",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-7021,Furniture Finishers,0.0842711497,20.5,19.8,-0.7,-3.3,2,"42,530",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
51-7031,"Model Makers, Wood",0.1524778255,0.9,0.9,0,-4.5,0.1,"51,850",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-7032,"Patternmakers, Wood",0.1423357922,0.5,0.4,0,-5,0,"52,520",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",0.108910643,45,44.7,-0.3,-0.6,4.8,"39,950",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",0.1326177441,63.1,61.9,-1.1,-1.8,6.4,"40,440",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-8011,Nuclear Power Reactor Operators,0.1051452237,5.7,4.9,-0.9,-15.3,0.4,"122,610",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
51-8012,Power Distributors and Dispatchers,0.1540744636,9.3,9,-0.3,-3.2,0.8,"107,240",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
51-8013,Power Plant Operators,0.06806335373,31.6,28,-3.5,-11.2,2.5,"99,670",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
51-8021,Stationary Engineers and Boiler Operators,0.1003480906,33.3,34,0.7,2.2,3.8,"75,190",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
51-8031,Water and Wastewater Treatment Plant and System Operators,0,132.4,123.8,-8.7,-6.5,10.7,"58,260",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
51-8091,Chemical Plant and System Operators,0.04613343416,18.1,17,-1.1,-6.1,1.6,"73,540",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-8092,Gas Plant Operators,0.1019477406,16.2,14.8,-1.4,-8.8,1.3,"83,400",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0.05914659977,34.9,34,-1,-2.8,3.2,"97,540",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-8099,"Plant and System Operators, All Other",0.026375067,16.3,16.6,0.3,1.6,1.6,"61,710",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-9011,Chemical Equipment Operators and Tenders,0.08950689326,128.9,133.1,4.3,3.3,14.4,"57,090",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",0.1062392134,54.4,52,-2.3,-4.3,5.4,"49,500",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.05069057254,28.7,27.9,-0.7,-2.5,2.7,"46,890",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-9022,"Grinding and Polishing Workers, Hand",0.09050487137,11.8,9.3,-2.5,-21.2,0.8,"41,690",No formal educational credential,8,None,4,Moderate-term on-the-job training,
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",0.07824783416,101.1,94.3,-6.8,-6.8,8.8,"47,680",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
51-9031,"Cutters and Trimmers, Hand",0.05338738614,7,5.7,-1.3,-18.1,0.6,"38,800",No formal educational credential,8,None,4,Short-term on-the-job training,
