"Occupation Title","Occupation Code","Employment 2024","Employment 2034","Employment Change, 2024-2034","Employment Percent Change, 2024-2034","Occupational Openings, 2024-2034 Annual Average","Median Annual Wage 2024","Typical Entry-Level Education","Education Code","Work Experience in a Related Occupation","Workex Code","Typical on-the-job Training","trCode"
"Producers and directors    * Broadcast Producer* Casting Director* Film Maker* Independent Film Maker* Independent Video Producer* Motion Picture Director* Movie Producer* Music Video Director* Music Video Producer* News Production Supervisor* Newscast Director* Newscast Producer* On-Air Director* Pageant Director* Radio Producer* Radio and Television Technical Director* Stage Manager* Television News Producer* Television Newscast Director* Television Producer* Television Program Director* Theater Company Producer* Video Producer","=""27-2012""","167.0","175.2","8.3","4.9","12.8","83,480","Bachelor's degree","3","Less than 5 years","2","None","6"
"Production workers, all other","=""51-9199""","292.8","294.3","1.5","0.5","31.6","38,820","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Production, planning, and expediting clerks    * Expeditor* Material Control Clerk* Material Expediter* Mill Recorder* Production Control Clerk* Production Control Coordinating Clerk* Production Control Coordinator* Production Scheduler* Work Ticket Distributor","=""43-5061""","388.8","381.7","-7.1","-1.8","34.1","57,770","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Project management specialists    * Design Project Management Specialists* Movie Project Management Specialists","=""13-1082""","1,046.3","1,105.0","58.7","5.6","78.2","100,750","Bachelor's degree","3","None","4","None","6"
"Proofreaders and copy markers    * Braille Proofreader* Clerical Proofreader* Copy Reader* Editorial Assistant* Format Proofreader* Proofreader","=""43-9081""","12.0","11.9","-0.1","-0.6","1.9","49,210","Bachelor's degree","3","None","4","None","6"
"Property appraisers and assessors","=""13-2020""","77.3","80.2","2.9","3.8","6.3","65,420","Bachelor's degree","3","None","4","Long-term on-the-job training","3"
"Property, real estate, and community association managers    * Apartment Manager* Building Rental Manager* Community Association Manager* Condominium Association Manager* Homeowner Association Manager* Land Acquisition Manager* Leasing Property Manager* Property Manager* Real Estate Manager","=""11-9141""","466.1","483.1","17.0","3.6","39.0","66,700","High school diploma or equivalent","7","Less than 5 years","2","Short-term on-the-job training","5"
"Prosthodontists    * Maxillofacial Prosthetics Dentist* Maxillofacial Prosthodontist* Reconstructive Dentist","=""29-1024""","0.9","0.9","0.0","4.5","0.0",">=239,200","Doctoral or professional degree","1","None","4","Internship/residency","1"
"Protective service workers, all other    * Warrant Server","=""33-9099""","84.0","86.1","2.1","2.5","23.3","41,600","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Psychiatric aides    * Mental Health Orderly* Psychiatric Nursing Aide* Psychiatric Orderly* Psychiatric Technician Assistant","=""31-1133""","38.5","38.3","-0.1","-0.4","5.3","41,590","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Psychiatric technicians    * Behavioral Health Technician* Mental Health Technician","=""29-2053""","144.5","173.3","28.9","20.0","15.9","42,590","Postsecondary nondegree award","5","Less than 5 years","2","Short-term on-the-job training","5"
"Psychiatrists    * Addiction Psychiatrist* Child Psychiatrist* Clinical Psychiatrist* Forensic Psychiatrist* Geriatric Psychiatrist* Neuropsychiatrist* Pediatric Psychiatrist* Staff Psychiatrist","=""29-1223""","27.1","28.8","1.7","6.1","0.9",">=239,200","Doctoral or professional degree","1","None","4","Internship/residency","1"
"Psychologists, all other    * Developmental Psychologist* Experimental Psychologist* Forensic Psychologist* Neuropsychologist* Psychotherapist* Rehabilitation Psychologist* Social Psychologist* Sports Psychologist","=""19-3039""","55.3","57.7","2.4","4.3","3.9","117,580","Master's degree","2","None","4","Internship/residency","1"
"Psychology teachers, postsecondary    * Applied Psychology Professor* Child Development Professor* Clinical Psychology Professor* Educational Psychology Professor* Human Relations Professor* Industrial Psychology Professor* Industrial/Organizational Psychology Professor* Psychology Professor","=""25-1066""","52.5","54.4","1.9","3.6","4.0","80,330","Doctoral or professional degree","1","None","4","None","6"
"Public relations managers    * Communication Manager* Public Affairs Director* Public Information Director* Public Information Relations Manager* Public Relations Director* Public Relations Manager* Publicity Director","=""11-2032""","83.2","87.3","4.1","5.0","6.6","138,520","Bachelor's degree","3","5 years or more","1","None","6"
"Public relations specialists    * Environmental Communications Specialist* Lobbyist* Media Relations Specialist* Press Agent* Press Secretary* Public Affairs Officer* Public Relations Counselor* Public Relations Officer* Public Relations Representative* Publicist* Publicity Agent* Publicity Writer","=""27-3031""","315.9","331.0","15.0","4.8","27.6","69,780","Bachelor's degree","3","None","4","None","6"
"Public safety telecommunicators    * 911 Dispatcher* 911 Operator* Ambulance Dispatcher* Emergency Communications Dispatcher* Emergency Communications Operator* Emergency Operator* Emergency Telecommunications Dispatcher* Fire Dispatcher* Police Dispatcher* Police Radio Dispatcher* Public Safety Dispatcher* Public Safety Telecommunicator","=""43-5031""","105.2","108.9","3.6","3.5","10.7","50,730","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Pump operators, except wellhead pumpers    * Acid Pump Operator* Brewery Pumper* Concrete Pump Operator* Fluid Pump Operator","=""53-7072""","13.1","13.5","0.3","2.6","1.5","60,020","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Purchasing managers    * Contract Administrator* Contracting Manager* Director of Strategic Sourcing* Procurement Manager* Purchasing Director* Sourcing Manager","=""11-3061""","83.5","86.1","2.6","3.1","6.4","139,510","Bachelor's degree","3","5 years or more","1","None","6"
"Radiation therapists    * Radiation Therapy Technologist* Registered Radiation Therapist","=""29-1124""","19.2","19.6","0.4","1.9","0.9","101,990","Associate's degree","4","None","4","None","6"
"Radio, cellular, and tower equipment installers and repairers    * Radio Frequency Technician* Radio Mechanic* Radio Repairer* Two-Way Radio Technician","=""49-2021""","11.7","12.7","1.0","8.6","1.2","64,190","Associate's degree","4","None","4","Moderate-term on-the-job training","4"
"Radiologic technologists and technicians    * Computed Axial Tomography Technologist* Computed Tomography (CT) Scanner Operator* Radiologic Technician* Registered Radiologic Technologist* Skiagrapher* X-Ray Technician","=""29-2034""","228.0","237.8","9.8","4.3","12.9","77,660","Associate's degree","4","None","4","None","6"
"Radiologists    * Diagnostic Radiologist* Interventional Radiologist","=""29-1224""","28.2","29.0","0.8","2.7","0.8",">=239,200","Doctoral or professional degree","1","None","4","Internship/residency","1"
"Rail car repairers    * Freight Car Repairer* Mine Car Mechanic* Rail Car Maintenance Mechanic* Rail Car Mechanic* Streetcar Repairer* Subway Car Repairer* Tank Car Reconditioner* Trolley Car Mechanic* Trolley Car Overhauler","=""49-3043""","17.9","18.4","0.5","2.8","1.5","65,680","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Rail transportation workers, all other    * Railway Equipment Operator* Retarder Operator* Transfer Table Operator","=""53-4099""","1.6","1.6","0.1","3.9","0.2","49,330","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Rail yard engineers, dinkey operators, and hostlers    * Coal Tram Driver* Dinkey Driver* Dinkey Operator* Engine Hostler* Haulage Engine Operator* Railcar Switcher* Yard Hostler","=""53-4013""","3.1","3.1","0.0","0.3","0.2","58,030","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Rail-track laying and maintenance equipment operators    * Ballast Cleaning Machine Operator* Rail Maintenance Worker* Railroad Track Mechanic* Track Layer* Track Machine Operator* Track Maintainer* Track Moving Machine Operator* Track Repair Worker* Track Repairer* Track Service Worker* Track Surfacing Machine Operator* Trackwalker","=""47-4061""","15.0","15.3","0.2","1.6","1.1","67,370","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Railroad brake, signal, and switch operators and locomotive firers    * Diesel Locomotive Firer* Dinkey Engine Firer* Freight Brake Operator* Locomotive Switch Operator* Railroad Brake Operator* Railroad Firer* Railway Switch Operator* Switch Coupler* Train Brake Operator","=""53-4022""","11.0","11.1","0.1","1.0","1.0","65,480","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Railroad conductors and yardmasters    * Freight Conductor* Passenger Car Conductor* Train Conductor* Yard Conductor","=""53-4031""","36.8","37.2","0.4","1.1","3.1","74,080","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Real estate brokers    * Licensed Real Estate Broker","=""41-9021""","111.3","115.0","3.7","3.3","9.7","72,280","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"Real estate sales agents    * Agricultural Real Estate Agent* Apartment Rental Agent* Industrial Real Estate Agent* Land Sales Agent* Right of Way Agent","=""41-9022""","420.9","433.7","12.8","3.1","36.6","56,320","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Receptionists and information clerks    * Appointment Clerk* Dental Receptionist* Front Desk Receptionist* Land Leasing Information Clerk","=""43-4171""","1,007.2","1,007.6","0.3","0.0","128.5","37,230","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Recreation and fitness studies teachers, postsecondary    * Health and Physical Education Professor* Human Performance Professor* Kinesiology Professor* Leisure Studies Professor* Physical Education (PE) Professor* Physical Education Professor* Swimming Professor","=""25-1193""","15.4","15.7","0.4","2.4","1.1","75,890","Doctoral or professional degree","1","None","4","None","6"
"Recreation workers    * Camp Counselor* Recreation Assistant* Recreational Activities Aide* Recreational Activities Assistant* Recreational Aide","=""39-9032""","327.7","341.1","13.4","4.1","68.1","35,380","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Recreational therapists    * CTRS* Certified Recreational Therapist* Certified Therapeutic Recreation Specialist* Drama Therapist* Therapeutic Recreation Specialist","=""29-1125""","16.1","16.6","0.5","3.3","1.3","60,280","Bachelor's degree","3","None","4","None","6"
"Recreational vehicle service technicians    * Master Certified RV Technician* Mobile Service Recreational Vehicle Technician* RV Mechanic* RV Servicer* RVDA Master Certified RV Technician* Recreational Vehicle (RV) Repairer* Recreational Vehicle Mechanic","=""49-3092""","19.5","21.7","2.2","11.5","2.8","50,540","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Refractory materials repairers, except brickmasons    * Bondactor Machine Operator* Cupola Repairer* Kiln Door Builder* Ladle Repairer* Refractory Repairer","=""49-9045""","1.1","0.9","-0.2","-16.9","0.1","58,540","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Refuse and recyclable material collectors    * Garbage Collector* Recyclable Materials Collector* Refuse Collector* Scrap Metal Collector* Solid Waste Collector* Trash Collector","=""53-7081""","147.9","149.2","1.3","0.9","16.9","48,350","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Registered nurses    * CCU Nurse* CNS* Clinical Nurse Specialist* Community Health Nurse* Coronary Care Unit Nurse* Emergency Room RN* Endoscopy Registered Nurse* Hospice Registered Nurse* Obstetrical Nurse* Oncology Registered Nurse* PACU Nurse* Pediatric Registered Nurse* Post-Anesthesia Care Unit Nurse* Psychiatric Nurse* RN* Triage Registered Nurse","=""29-1141""","3,391.0","3,557.1","166.1","4.9","189.1","93,600","Bachelor's degree","3","None","4","None","6"
"Rehabilitation counselors    * Certified Rehabilitation Counselor* Coordinator of Rehabilitation Services* Psychosocial Rehabilitation Counselor* Veterans Rehabilitation Counselor* Vocational Rehabilitation Counselor* Vocational Rehabilitation Job Coach","=""21-1015""","91.9","93.2","1.3","1.4","10.0","46,110","Master's degree","2","None","4","None","6"
"Reinforcing iron and rebar workers    * Post Tensioning Ironworker* Rebar Worker* Reinforcing Steel Worker* Rod Buster* Steel Rod Buster* Steel Tier","=""47-2171""","19.4","20.3","0.9","4.6","1.5","59,280","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Religious workers, all other    * Buddhist Monk* Christian Science Nurse* Missionary* Mohel* Nun* Pastoral Worker* Prior* Sacristan* Sunday School Missionary* Traveling Missionary* Verger","=""21-2099""","88.4","89.0","0.6","0.6","11.1","45,120","Bachelor's degree","3","None","4","None","6"
"Reservation and transportation ticket agents and travel clerks    * Airline Reservation Agent* Airline Reservationist* Airline Ticket Agent* Gate Agent* Hotel Reservationist* Passenger Agent* Passenger Booking Clerk* Reservation Agent* Reservation Sales Agent* Train Clerk* Train Reservation Clerk* Transportation Clerk* Travel Clerk","=""43-4181""","131.9","135.6","3.7","2.8","14.4","41,460","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Residential advisors    * Dormitory Counselor* House Parent* Residence Director* Residence Life Coordinator* Residential Director* Residential Life Director* Sorority Mother","=""39-9041""","91.2","94.7","3.5","3.8","17.4","39,180","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Respiratory therapists    * CRT* Certified Respiratory Therapist* Inhalation Therapist* Oxygen Therapist* RRT* Registered Respiratory Therapist* Respiratory Therapist","=""29-1126""","139.6","156.4","16.8","12.1","8.8","80,450","Associate's degree","4","None","4","None","6"
"Retail salespersons    * Automotive Salesperson* Department Store Salesperson* Menswear Salesperson* New Car Salesperson* Pet Supplies Salesperson* Pets Salesperson* Shoe Salesperson* Used Car Salesperson* Women's Apparel Salesperson","=""41-2031""","3,936.7","3,917.1","-19.6","-0.5","555.8","34,580","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Riggers    * Acrobatic Rigger* Boat Rigger* Crane Rigger* Fly Rail Operator* Gantry Rigger* High Rigger* Marine Rigger* Parachute Rigger* Ship Rigger* Theatrical Rigger* Wire Rigger* Yacht Rigger* Yard Rigger","=""49-9096""","24.6","25.4","0.8","3.2","2.5","62,060","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Rock splitters, quarry    * Quarry Chop Saw Operator* Quarry Plug and Feather Driller* Sandstone Splitter","=""47-5051""","3.2","3.4","0.1","4.4","0.4","47,460","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Rolling machine setters, operators, and tenders, metal and plastic    * Brass Roller* Forming Roll Operator* Metal Sheet Roller Operator* Pipe Straightener* Plastic Straightening Roll Operator* Steel Roller","=""51-4023""","22.5","20.6","-1.9","-8.3","1.9","48,630","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Roof bolters, mining    * Roof Bolter Operator* Roof Bolting Coal Miner* Underground Bolting Machine Operator* Underground Roof Bolter","=""47-5043""","2.3","1.5","-0.8","-34.2","0.1","76,640","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Roofers    * Composition Roofer* Hot Tar Roofer* Industrial Roofer* Metal Roofing Mechanic* Residential Roofer* Sheet Metal Roofer* Shingles Roofer* Slate Roofer* Terra Cotta Roofer","=""47-2181""","166.7","176.5","9.8","5.9","12.7","50,970","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Rotary drill operators, oil and gas    * Drilling Rig Operator* Fracturing Rotary Drill Operator* Natural Gas Shothole Driller* Oil Driller* Oil Rig Driller* Oil Well Cable Tool Driller* Oil Well Cable Tool Operator* Oil Well Driller* Prospecting Driller","=""47-5012""","13.3","13.4","0.0","0.2","1.2","65,010","No formal educational credential","8","Less than 5 years","2","Moderate-term on-the-job training","4"
"Roustabouts, oil and gas    * Gas Floorhand* Oil Field Roustabout* Oil Rig Floorhand* Oil Rig Roughneck* Oil and Gas Floorhand* Roustabout* Roustabout Pusher","=""47-5071""","46.0","47.1","1.1","2.5","4.3","47,510","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Sailors and marine oilers    * Able Seaman* Deck Cadet* Deck Hand* Deckhand* Merchant Mariner* Merchant Seaman* Ordinary Seaman* Sailor* Vessel Ordinary Seaman","=""53-5011""","32.1","32.8","0.7","2.3","3.9","49,610","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Sales and related workers, all other    * Auctioneer* Blood Donor Recruiter* Leaflet Distributor* Livestock Auctioneer* Pawn Shop Clerk* Personal Shopper* Store Gift Wrap Associate","=""41-9099""","122.6","127.1","4.5","3.7","16.0","46,370","High school diploma or equivalent","7","None","4","None","6"
"Sales engineers    * Aerospace Products Sales Engineer* Missile Navigation Systems Sales Engineer* Nuclear Equipment Sales Engineer","=""41-9031""","56.8","59.9","3.1","5.5","5.0","121,520","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Sales managers    * District Sales Manager* E-Commerce Director* Export Manager* Regional Sales Manager* Sales Account Manager* Sales Director* Territory Sales Manager","=""11-2022""","619.5","648.5","29.0","4.7","49.0","138,060","Bachelor's degree","3","Less than 5 years","2","None","6"
"Sales representatives of services, except advertising, insurance, financial services, and travel    * Automobile Club Membership Sales Agent* Bookkeeping Service Sales Agent* Business Services Sales Representative* Membership Solicitor* Pest Control Service Sales Agent","=""41-3091""","1,226.7","1,264.7","37.9","3.1","123.0","66,260","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Sales representatives, wholesale and manufacturing, except technical and scientific products    * Bottling Equipment Sales Representative* Freight Broker* Hotel Supplies Salesperson* Mortician Supplies Sales Representative* Pulpwood Dealer* Wholesale Diamond Broker","=""41-4012""","1,310.5","1,314.9","4.4","0.3","114.8","66,780","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Sales representatives, wholesale and manufacturing, technical and scientific products    * Chemical Sales Representative* Electroplating Sales Representative* Engineering Supplies Sales* Pharmaceutical Detailer* Pharmaceutical Sales Representative* Pharmaceutical Salesperson* Surgical Instruments Sales Representative* Wholesale Ultrasonic Equipment Salesperson","=""41-4011""","303.2","308.9","5.7","1.9","27.2","100,070","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Sawing machine setters, operators, and tenders, wood    * Backup Sawyer* Band Scroll Saw Operator* Bandmill Operator* Buzzsaw Operator* Chop Saw Operator* Circle Saw Operator* Curve Saw Operator* Cut Off Saw Operator* Hardwood Sawyer* Headrig Sawyer* Panel Saw Operator* Rip Saw Operator* Stave Saw Operator* Trim Saw Operator","=""51-7041""","45.0","44.7","-0.3","-0.6","4.8","39,950","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"School bus monitors    * Bus Monitor* School Bus Attendant","=""33-9094""","71.4","69.5","-2.0","-2.7","12.6","34,980","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"School psychologists    * Educational Psychologists","=""19-3034""","67.2","67.7","0.5","0.7","3.8","86,930","Master's degree","2","None","4","Internship/residency","1"
"Secondary school teachers, except special and career/technical education    * High School Algebra Teacher* High School Biology Teacher* High School English Teacher* High School French Teacher* High School History Teacher* High School Math Teacher* High School Teacher","=""25-2031""","1,094.5","1,076.7","-17.8","-1.6","66.2","64,580","Bachelor's degree","3","None","4","None","6"
"Secretaries and administrative assistants, except legal, medical, and executive    * Alumni Secretary* Office Secretary* Personal Secretary* Real Estate Administrative Assistant","=""43-6014""","1,944.0","1,913.2","-30.8","-1.6","202.8","46,290","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Securities, commodities, and financial services sales agents    * Commodities Broker* Commodity Trader* Equity Trader* Foreign Exchange Trader* Investment Banker* Municipal Bond Trader* Mutual Fund Sales Agent* Securities Trader* Stock Broker* Stock Trader","=""41-3031""","514.5","531.6","17.1","3.3","38.1","78,140","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Security and fire alarm systems installers    * Alarm Adjuster* Alarm Technician* Burglar Alarm Installer* Fire Alarm Installer* Fire Alarm Technician* Home Security Alarm Installer","=""49-2098""","85.9","94.9","8.9","10.4","9.4","59,300","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Security guards    * Armed Guard* Bank Guard* Bodyguard* Bouncer* Private Watchman* Security Officer","=""33-9032""","1,262.1","1,267.1","5.1","0.4","161.0","38,370","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Self-enrichment teachers    * Citizenship Teacher* Driver Education Instructor* Knitting Instructor* Recreational Activities Instructor","=""25-3021""","417.5","433.0","15.5","3.7","51.4","45,590","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"Semiconductor processing technicians    * Electronic Semiconductor Processor* Semiconductor Assembler* Wafer Fabricator","=""51-9141""","31.9","35.4","3.5","10.9","3.9","51,180","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders    * Brewmaster* Fermentation Operator* Fermenter* Linseed Oil Temperer* Milk Pasteurizer* Milk Processor* Molasses Preparer* Pasteurizer* Winemaker","=""51-9012""","54.4","52.0","-2.3","-4.3","5.4","49,500","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Septic tank servicers and sewer pipe cleaners    * Electric Sewer Cleaning Machine Operator* Septic Pump Truck Driver* Septic Tank Cleaner* Sewage Screen Operator* Sewer Cleaner* Sewer Pipe Cleaner* Sewer and Drain Technician","=""47-4071""","30.4","32.7","2.3","7.6","2.9","49,140","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Service unit operators, oil and gas    * Oil Well Fishing-Tool Technician* Well Service Pump Equipment Operator* Well Service Rig Operator* Well Services Operator* Well Servicing Rig Operator","=""47-5013""","45.2","45.4","0.2","0.4","4.1","57,980","No formal educational credential","8","Less than 5 years","2","Moderate-term on-the-job training","4"
"Set and exhibit designers    * Scenic Designer* Set Decorator* Set Designer* Stage Scenery Designer* Theater Set Production Designer","=""27-1027""","31.3","32.0","0.7","2.3","2.5","66,280","Bachelor's degree","3","None","4","None","6"
"Sewers, hand    * Hand Quilter* Hand Sewer* Hand Stitcher* Hand Weaver","=""51-6051""","5.4","5.0","-0.4","-7.0","0.7","33,760","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Sewing machine operators    * Blind Stitch Machine Operator* Button Sewing Machine Operator* Carpet Sewing Machine Operator* Custom T-Shirt Embroidery Machine Operator* Embroidery Machine Operator* Hemming and Tacking Machine Operator* Ultrasonic Seaming Machine Operator","=""51-6031""","124.0","110.7","-13.3","-10.8","13.0","36,000","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Shampooers    * Scalp Treatment Specialist* Shampoo Assistant* Shampoo Technician","=""39-5093""","18.5","19.6","1.0","5.5","2.7","31,470","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Sheet metal workers    * Air Conditioning Sheet Metal Installer* Heating, Ventilation, and Air Conditioning (HVAC) Sheet Metal Installer* Sheet Metal Duct Installer* Sheet Metal Fabricator* Sheet Metal Former* Sheet Metal Installer* Sheet Metal Layout Mechanic* Sheet Metal Layout Worker* Tinsmith","=""47-2211""","127.0","130.1","3.1","2.4","10.6","60,850","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Ship engineers    * Barge Engineer* Ferry Engineer* Towboat Engineer* Tug Boat Engineer* Tugboat Engineer","=""53-5031""","8.8","9.0","0.1","1.6","1.1","101,320","Postsecondary nondegree award","5","Less than 5 years","2","None","6"
"Shipping, receiving, and inventory clerks    * Freight Clerk* Incoming Freight Clerk* Inventory Control Clerk* Inventory Taker* Receiving Clerk* Reconsignment Clerk* Route Delivery Clerk* Shipping Order Clerk* Shipping and Receiving Clerk* Stockroom Attendant* Stockroom Clerk* Store Receiving Clerk* Supply Clerk* Supply Room Clerk* Tool Crib Attendant* Warehouse Clerk","=""43-5071""","862.2","795.8","-66.3","-7.7","69.3","43,190","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Shoe and leather workers and repairers    * Cobbler* Leather Lacer* Leather Worker* Luggage Repairer* Saddle Maker* Saddle and Harness Maker* Shoe Maker* Shoe Repairer* Shoemaker","=""51-6041""","9.5","9.1","-0.4","-3.8","0.9","35,950","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Shoe machine operators and tenders    * Arch Cushion Press Operator* Insole Beveler* Lacing Operator* Lasting Machine Operator* Pump Stitcher* Rasper Machine Operator* Shoe Cementer* Shoe Sewing Machine Operator and Tender* Sole Trimmer","=""51-6042""","4.1","3.9","-0.2","-3.7","0.4","38,160","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Shuttle drivers and chauffeurs    * Airport Apron Bus Driver* Airport Shuttle Driver* Airside Transfer Bus Driver* Courtesy Car Driver* Courtesy Van Driver* Funeral Car Driver* Hearse Driver* Hotel Shuttle Driver* Nonemergency Medical Transporter","=""53-3053""","243.9","260.3","16.4","6.7","36.3","36,670","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Signal and track switch repairers    * Electric Track Switch Maintainer* Light Rail Signal Technician* Rail Signal Mechanic* Railway Signal Technician* Third Rail Installer* Train Control Electronic Technician* Train Control Technician","=""49-9097""","8.7","8.8","0.1","1.7","0.8","83,600","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Skincare specialists    * Electrolysis Needle Operator* Electrolysis Operator* Electrolysist* Esthetician* Facialist* Licensed Esthetician* Medical Esthetician* Skin Care Technician","=""39-5094""","97.4","103.9","6.6","6.7","14.5","41,560","Postsecondary nondegree award","5","None","4","None","6"
"Slaughterers and meat packers    * Beef Splitter* Cattle Killer* Halal Meat Packer* Hog Slaughterer* Meat Packer* Meat Processor* Poultry Slaughterer* Shochet* Slaughterer","=""51-3023""","69.6","71.2","1.5","2.2","8.4","39,790","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Social and community service managers    * Child Welfare Director* Community Service Director* Community Service Organization Director* Family Service Center Director* Neighborhood Service Center Director* Social Service Director* Social Services Director* Youth Program Director","=""11-9151""","219.8","233.9","14.1","6.4","18.6","78,240","Bachelor's degree","3","Less than 5 years","2","None","6"
"Social and human service assistants    * Addictions Counselor Assistant* Case Work Aide* Clinical Social Work Aide* Family Service Assistant* Human Services Worker* Social Work Assistant","=""21-1093""","449.6","478.5","28.9","6.4","50.6","45,120","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Social science research assistants    * City Planning Aide* Economic Research Assistant* Economist Research Assistant* Historian Research Assistant* Political Science Research Assistant* Psychologist Research Assistant* Sociology Research Assistant","=""19-4061""","40.6","42.3","1.8","4.4","5.2","58,040","Bachelor's degree","3","None","4","None","6"
"Social sciences teachers, postsecondary, all other    * Social Science Professor* Survey Research Professor* Urban Planning Professor","=""25-1069""","20.7","21.1","0.4","1.7","1.5","75,040","Doctoral or professional degree","1","None","4","None","6"
"Social scientists and related workers, all other    * Behavioral Scientist* Demographer* Ethnologist* Etymologist* Linguist* Philologist* Social Scientist","=""19-3099""","40.8","40.1","-0.7","-1.7","3.2","100,340","Bachelor's degree","3","None","4","None","6"
"Social work teachers, postsecondary    * Family Welfare Social Work Professor* Geriatric Social Work Professor* Health Social Work Professor* Social Work Professor","=""25-1113""","17.1","17.5","0.4","2.3","1.3","76,210","Doctoral or professional degree","1","None","4","None","6"
"Social workers, all other    * Adult Protective Service Social Worker* Criminal Justice Social Worker* Forensic Social Worker* Sexual Assault Social Worker","=""21-1029""","81.0","84.1","3.1","3.9","7.0","69,480","Bachelor's degree","3","None","4","None","6"
"Sociologists    * Criminologist* Family Sociologist* Penologist* Rural Sociologist* Urban Sociologist","=""19-3041""","3.4","3.6","0.1","3.6","0.3","101,690","Master's degree","2","None","4","None","6"
"Sociology teachers, postsecondary    * Comparative Sociology Professor* Race Relations Professor* Social Organization Professor","=""25-1067""","15.4","15.7","0.3","2.1","1.1","82,540","Doctoral or professional degree","1","None","4","None","6"
"Software developers    * Application Integration Engineer* Applications Developer* Computer Applications Developer* Computer Applications Engineer* Computer Systems Engineer* Computer Systems Software Architect* Computer Systems Software Engineer* Embedded Systems Software Developer* Enterprise Systems Engineer* Mobile Applications Developer* Software Applications Architect* Software Applications Designer* Software Applications Engineer* Software Engineer* Software Systems Engineer* Systems Software Designer* Systems Software Developer* Systems Software Specialist","=""15-1252""","1,693.8","1,961.4","267.7","15.8","115.2","133,080","Bachelor's degree","3","None","4","None","6"
"Software quality assurance analysts and testers    * Applications Tester* Software Quality Assurance Technician* Software Quality Control Specialist* Software Quality Engineer* Software Test Engineer","=""15-1253""","201.7","221.9","20.2","10.0","14.0","102,610","Bachelor's degree","3","None","4","None","6"
